id,name,cas_number,supplier,location,quantity,unit,expiration_date,low_stock_threshold,Delete,Edit
62,3-Amino-9-Ethyl Carbazole,0291-50G,Amresco,Right Cabinet,1,bottles,,1,false,false
63,Actinomyces Broth,M233-500G,HiMedia,Right Cabinet,1,bottles,,1,false,false
64,"Adenine, 99%",A14906.14,Thermo Scientific,Right Cabinet,1,bottles,,1,false,false
2,Agarose,A9539-10G,Sigma Aldrich,Left Cabinet,1,bottles,,1,false,false
65,Agarose,A9539-100G,sigma aldrich,Right Cabinet,1,bottles,,1,false,false
66,Agarose LE,AG9001-5G,Redoxica,Right Cabinet,1,bottles,,1,false,false
67,"Ammonium molybdate (VI) tetrahydrate, ACS reagent",423311000,Thermo Scientific,Right Cabinet,1,bottles,,1,false,false
3,Ammonium sulfate,11566.36,Thermo Scientific,Left Cabinet,1,bottles,,1,false,false
4,Arabinose,365181000,Thermo Scientific,Left Cabinet,1,bottles,,1,false,false
68,Ascorbic acid,461,British Pharmacopoeia Commission Lab,Right Cabinet,1,bottles,,1,false,false
5,Asparagine,B21473.22,Thermo Scientific,Left Cabinet,1,bottles,,1,false,false
69,"B-Estradiol, 99% (dry wt.), ca 3% water",L03801,Alfa Aesar,Right Cabinet,1,bottles,,1,false,false
70,Bacto  Tryptone,211705,BD,Right Cabinet,1,bottles,,1,false,false
71,Bacto Yeast Extract,212750,BD,Right Cabinet,1,bottles,,1,false,false
72,Beef Extract Powder,B4888-50G,sigma aldrich,Right Cabinet,1,bottles,,1,false,false
6,Boric Acid,42348-5000,Thermo Scientific,Left Cabinet,1,bottles,,1,false,false
7,Calcium Chloride,C3306-100G,Sigma Aldrich,Left Cabinet,1,bottles,,1,false,false
73,Carboxymethylcellulose sodium salt,C5678-500G,sigma aldrich,Right Cabinet,1,bottles,,1,false,false
74,Casman Medium Base,7123A,Acumedia,Right Cabinet,1,bottles,,1,false,false
8,Cobalt(II) chloride hexahydrate,A16346.18,Thermo Scientific,Left Cabinet,1,bottles,,1,false,false
